Sr. No,Circuit Type,Circuit name,No. of transistors,No. of n-type transistor,No. of p-type transistor,Lg, W,D,Input Output Delay
286,Basic gates,OR Gate,6,3,3,1.00E-08,6.00E-07,1.50E-09,2.27E-11
287,Basic gates,OR Gate,6,3,3,1.00E-08,7.00E-07,1.50E-09,2.62E-11
288,Basic gates,OR Gate,6,3,3,1.00E-08,8.00E-07,1.50E-09,2.98E-11
289,Basic gates,OR Gate,6,3,3,1.00E-08,9.00E-07,1.50E-09,3.32E-11
290,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-06,1.50E-09,3.65E-11
291,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-07,1.60E-09,1.84E-12
292,Basic gates,OR Gate,6,3,3,1.00E-08,2.00E-07,1.60E-09,4.88E-12
293,Basic gates,OR Gate,6,3,3,1.00E-08,3.00E-07,1.60E-09,8.37E-12
294,Basic gates,OR Gate,6,3,3,1.00E-08,4.00E-07,1.60E-09,1.26E-11
295,Basic gates,OR Gate,6,3,3,1.00E-08,5.00E-07,1.60E-09,1.66E-11
296,Basic gates,OR Gate,6,3,3,1.00E-08,6.00E-07,1.60E-09,2.02E-11
297,Basic gates,OR Gate,6,3,3,1.00E-08,7.00E-07,1.60E-09,2.38E-11
298,Basic gates,OR Gate,6,3,3,1.00E-08,8.00E-07,1.60E-09,2.72E-11
299,Basic gates,OR Gate,6,3,3,1.00E-08,9.00E-07,1.60E-09,3.04E-11
300,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-06,1.60E-09,3.36E-11
301,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-07,9.00E-10,1.30E-11
302,Basic gates,OR Gate,6,3,3,1.00E-08,2.00E-07,9.00E-10,2.22E-11
303,Basic gates,OR Gate,6,3,3,1.00E-08,3.00E-07,9.00E-10,3.02E-11
304,Basic gates,OR Gate,6,3,3,1.00E-08,4.00E-07,9.00E-10,3.75E-11
305,Basic gates,OR Gate,6,3,3,1.00E-08,5.00E-07,9.00E-10,4.43E-11
306,Basic gates,OR Gate,6,3,3,1.00E-08,6.00E-07,9.00E-10,5.06E-11
307,Basic gates,OR Gate,6,3,3,1.00E-08,7.00E-07,9.00E-10,5.67E-11
308,Basic gates,OR Gate,6,3,3,1.00E-08,8.00E-07,9.00E-10,6.23E-11
309,Basic gates,OR Gate,6,3,3,1.00E-08,9.00E-07,9.00E-10,6.76E-11
310,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-06,9.00E-10,7.28E-11
311,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-07,1.00E-10,1.12E-11
312,Basic gates,OR Gate,6,3,3,1.00E-08,2.00E-07,1.00E-10,1.76E-11
313,Basic gates,OR Gate,6,3,3,1.00E-08,3.00E-07,1.00E-10,2.68E-11
314,Basic gates,OR Gate,6,3,3,1.00E-08,4.00E-07,1.00E-10,3.10E-11
315,Basic gates,OR Gate,6,3,3,1.00E-08,5.00E-07,1.00E-10,3.85E-11
316,Basic gates,OR Gate,6,3,3,1.00E-08,6.00E-07,1.00E-10,4.39E-11
317,Basic gates,OR Gate,6,3,3,1.00E-08,7.00E-07,1.00E-10,5.11E-11
318,Basic gates,OR Gate,6,3,3,1.00E-08,8.00E-07,1.00E-10,5.72E-11
319,Basic gates,OR Gate,6,3,3,1.00E-08,9.00E-07,1.00E-10,6.04E-11
320,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-06,1.00E-10,6.79E-11
321,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-07,9.00E-10,1.65E-11
322,Basic gates,AND Gate,6,3,3,1.00E-08,2.00E-07,9.00E-10,2.77E-11
323,Basic gates,AND Gate,6,3,3,1.00E-08,3.00E-07,9.00E-10,3.85E-11
324,Basic gates,AND Gate,6,3,3,1.00E-08,4.00E-07,9.00E-10,4.93E-11
325,Basic gates,AND Gate,6,3,3,1.00E-08,5.00E-07,9.00E-10,5.96E-11
326,Basic gates,AND Gate,6,3,3,1.00E-08,6.00E-07,9.00E-10,6.95E-11
327,Basic gates,AND Gate,6,3,3,1.00E-08,7.00E-07,9.00E-10,7.95E-11
328,Basic gates,AND Gate,6,3,3,1.00E-08,8.00E-07,9.00E-10,8.94E-11
329,Basic gates,AND Gate,6,3,3,1.00E-08,9.00E-07,9.00E-10,9.96E-11
330,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-06,9.00E-10,1.10E-10
331,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-07,1.00E-09,1.46E-11
332,Basic gates,AND Gate,6,3,3,1.00E-08,2.00E-07,1.00E-09,2.41E-11
333,Basic gates,AND Gate,6,3,3,1.00E-08,3.00E-07,1.00E-09,3.38E-11
334,Basic gates,AND Gate,6,3,3,1.00E-08,4.00E-07,1.00E-09,4.35E-11
335,Basic gates,AND Gate,6,3,3,1.00E-08,5.00E-07,1.00E-09,5.33E-11
336,Basic gates,AND Gate,6,3,3,1.00E-08,6.00E-07,1.00E-09,6.27E-11
337,Basic gates,AND Gate,6,3,3,1.00E-08,7.00E-07,1.00E-09,7.19E-11
338,Basic gates,AND Gate,6,3,3,1.00E-08,8.00E-07,1.00E-09,8.13E-11
339,Basic gates,AND Gate,6,3,3,1.00E-08,9.00E-07,1.00E-09,9.04E-11
340,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-06,1.00E-09,9.99E-11
341,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-07,1.10E-09,1.35E-11
342,Basic gates,AND Gate,6,3,3,1.00E-08,2.00E-07,1.10E-09,2.14E-11
343,Basic gates,AND Gate,6,3,3,1.00E-08,3.00E-07,1.10E-09,2.86E-11
344,Basic gates,AND Gate,6,3,3,1.00E-08,4.00E-07,1.10E-09,3.59E-11
345,Basic gates,AND Gate,6,3,3,1.00E-08,5.00E-07,1.10E-09,4.35E-11
346,Basic gates,AND Gate,6,3,3,1.00E-08,6.00E-07,1.10E-09,5.11E-11
347,Basic gates,AND Gate,6,3,3,1.00E-08,7.00E-07,1.10E-09,5.86E-11
348,Basic gates,AND Gate,6,3,3,1.00E-08,8.00E-07,1.10E-09,6.60E-11
349,Basic gates,AND Gate,6,3,3,1.00E-08,9.00E-07,1.10E-09,7.34E-11
350,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-06,1.10E-09,8.07E-11
351,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-07,1.20E-09,1.30E-11
352,Basic gates,AND Gate,6,3,3,1.00E-08,2.00E-07,1.20E-09,2.03E-11
353,Basic gates,AND Gate,6,3,3,1.00E-08,3.00E-07,1.20E-09,2.72E-11
354,Basic gates,AND Gate,6,3,3,1.00E-08,4.00E-07,1.20E-09,3.41E-11
355,Basic gates,AND Gate,6,3,3,1.00E-08,5.00E-07,1.20E-09,4.12E-11
356,Basic gates,AND Gate,6,3,3,1.00E-08,6.00E-07,1.20E-09,4.85E-11
357,Basic gates,AND Gate,6,3,3,1.00E-08,7.00E-07,1.20E-09,5.60E-11
358,Basic gates,AND Gate,6,3,3,1.00E-08,8.00E-07,1.20E-09,6.33E-11
359,Basic gates,AND Gate,6,3,3,1.00E-08,9.00E-07,1.20E-09,7.05E-11
360,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-06,1.20E-09,7.78E-11
361,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-07,1.30E-09,1.26E-11
362,Basic gates,AND Gate,6,3,3,1.00E-08,2.00E-07,1.30E-09,1.95E-11
363,Basic gates,AND Gate,6,3,3,1.00E-08,3.00E-07,1.30E-09,2.58E-11
364,Basic gates,AND Gate,6,3,3,1.00E-08,4.00E-07,1.30E-09,3.19E-11
365,Basic gates,AND Gate,6,3,3,1.00E-08,5.00E-07,1.30E-09,3.82E-11
366,Basic gates,AND Gate,6,3,3,1.00E-08,6.00E-07,1.30E-09,4.47E-11
367,Basic gates,AND Gate,6,3,3,1.00E-08,7.00E-07,1.30E-09,5.14E-11
368,Basic gates,AND Gate,6,3,3,1.00E-08,8.00E-07,1.30E-09,5.81E-11
369,Basic gates,AND Gate,6,3,3,1.00E-08,9.00E-07,1.30E-09,6.47E-11
370,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-06,1.30E-09,7.12E-11
371,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-07,1.40E-09,1.24E-11
372,Basic gates,AND Gate,6,3,3,1.00E-08,2.00E-07,1.40E-09,1.90E-11
373,Basic gates,AND Gate,6,3,3,1.00E-08,3.00E-07,1.40E-09,2.49E-11
374,Basic gates,AND Gate,6,3,3,1.00E-08,4.00E-07,1.40E-09,3.06E-11
375,Basic gates,AND Gate,6,3,3,1.00E-08,5.00E-07,1.40E-09,3.63E-11
376,Basic gates,AND Gate,6,3,3,1.00E-08,6.00E-07,1.40E-09,4.22E-11
377,Basic gates,AND Gate,6,3,3,1.00E-08,7.00E-07,1.40E-09,4.81E-11
378,Basic gates,AND Gate,6,3,3,1.00E-08,8.00E-07,1.40E-09,5.44E-11
379,Basic gates,AND Gate,6,3,3,1.00E-08,9.00E-07,1.40E-09,6.04E-11
380,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-06,1.40E-09,6.65E-11
381,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-07,1.50E-09,1.23E-11
382,Basic gates,AND Gate,6,3,3,1.00E-08,2.00E-07,1.50E-09,1.87E-11
383,Basic gates,AND Gate,6,3,3,1.00E-08,3.00E-07,1.50E-09,2.43E-11
384,Basic gates,AND Gate,6,3,3,1.00E-08,4.00E-07,1.50E-09,2.97E-11
385,Basic gates,AND Gate,6,3,3,1.00E-08,5.00E-07,1.50E-09,3.49E-11
386,Basic gates,AND Gate,6,3,3,1.00E-08,6.00E-07,1.50E-09,4.03E-11
387,Basic gates,AND Gate,6,3,3,1.00E-08,7.00E-07,1.50E-09,4.58E-11
388,Basic gates,AND Gate,6,3,3,1.00E-08,8.00E-07,1.50E-09,5.15E-11
389,Basic gates,AND Gate,6,3,3,1.00E-08,9.00E-07,1.50E-09,5.73E-11
390,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-06,1.50E-09,6.29E-11
391,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-07,1.60E-09,1.22E-11
392,Basic gates,AND Gate,6,3,3,1.00E-08,2.00E-07,1.60E-09,1.85E-11
393,Basic gates,AND Gate,6,3,3,1.00E-08,3.00E-07,1.60E-09,2.39E-11
394,Basic gates,AND Gate,6,3,3,1.00E-08,4.00E-07,1.60E-09,2.91E-11
395,Basic gates,AND Gate,6,3,3,1.00E-08,5.00E-07,1.60E-09,3.40E-11
396,Basic gates,AND Gate,6,3,3,1.00E-08,6.00E-07,1.60E-09,3.91E-11
397,Basic gates,AND Gate,6,3,3,1.00E-08,7.00E-07,1.60E-09,4.41E-11
398,Basic gates,AND Gate,6,3,3,1.00E-08,8.00E-07,1.60E-09,4.94E-11
399,Basic gates,AND Gate,6,3,3,1.00E-08,9.00E-07,1.60E-09,5.48E-11
400,Basic gates,AND Gate,6,3,3,1.00E-08,1.00E-06,1.60E-09,6.02E-11
401,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-07,9.00E-10,1.93E-11
402,Basic gates,AND Gate,6,3,3,2.00E-08,2.00E-07,9.00E-10,3.27E-11
403,Basic gates,AND Gate,6,3,3,2.00E-08,3.00E-07,9.00E-10,4.54E-11
404,Basic gates,AND Gate,6,3,3,2.00E-08,4.00E-07,9.00E-10,5.77E-11
405,Basic gates,AND Gate,6,3,3,2.00E-08,5.00E-07,9.00E-10,6.92E-11
406,Basic gates,AND Gate,6,3,3,2.00E-08,6.00E-07,9.00E-10,8.07E-11
407,Basic gates,AND Gate,6,3,3,2.00E-08,7.00E-07,9.00E-10,9.23E-11
408,Basic gates,AND Gate,6,3,3,2.00E-08,8.00E-07,9.00E-10,1.04E-10
409,Basic gates,AND Gate,6,3,3,2.00E-08,9.00E-07,9.00E-10,1.16E-10
410,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-06,9.00E-10,1.27E-10
411,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-07,1.00E-09,1.61E-11
412,Basic gates,AND Gate,6,3,3,2.00E-08,2.00E-07,1.00E-09,2.65E-11
413,Basic gates,AND Gate,6,3,3,2.00E-08,3.00E-07,1.00E-09,3.68E-11
414,Basic gates,AND Gate,6,3,3,2.00E-08,4.00E-07,1.00E-09,4.69E-11
415,Basic gates,AND Gate,6,3,3,2.00E-08,5.00E-07,1.00E-09,5.70E-11
416,Basic gates,AND Gate,6,3,3,2.00E-08,6.00E-07,1.00E-09,6.66E-11
417,Basic gates,AND Gate,6,3,3,2.00E-08,7.00E-07,1.00E-09,7.62E-11
418,Basic gates,AND Gate,6,3,3,2.00E-08,8.00E-07,1.00E-09,8.58E-11
419,Basic gates,AND Gate,6,3,3,2.00E-08,9.00E-07,1.00E-09,9.55E-11
420,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-06,1.00E-09,1.05E-10
421,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-07,1.10E-09,1.47E-11
422,Basic gates,AND Gate,6,3,3,2.00E-08,2.00E-07,1.10E-09,2.40E-11
423,Basic gates,AND Gate,6,3,3,2.00E-08,3.00E-07,1.10E-09,3.34E-11
424,Basic gates,AND Gate,6,3,3,2.00E-08,4.00E-07,1.10E-09,4.28E-11
425,Basic gates,AND Gate,6,3,3,2.00E-08,5.00E-07,1.10E-09,5.26E-11
426,Basic gates,AND Gate,6,3,3,2.00E-08,6.00E-07,1.10E-09,6.19E-11
427,Basic gates,AND Gate,6,3,3,2.00E-08,7.00E-07,1.10E-09,7.11E-11
428,Basic gates,AND Gate,6,3,3,2.00E-08,8.00E-07,1.10E-09,8.02E-11
429,Basic gates,AND Gate,6,3,3,2.00E-08,9.00E-07,1.10E-09,8.95E-11
430,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-06,1.10E-09,9.88E-11
431,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-07,1.20E-09,1.39E-11
432,Basic gates,AND Gate,6,3,3,2.00E-08,2.00E-07,1.20E-09,2.20E-11
433,Basic gates,AND Gate,6,3,3,2.00E-08,3.00E-07,1.20E-09,2.99E-11
434,Basic gates,AND Gate,6,3,3,2.00E-08,4.00E-07,1.20E-09,3.81E-11
435,Basic gates,AND Gate,6,3,3,2.00E-08,5.00E-07,1.20E-09,4.63E-11
436,Basic gates,AND Gate,6,3,3,2.00E-08,6.00E-07,1.20E-09,5.48E-11
437,Basic gates,AND Gate,6,3,3,2.00E-08,7.00E-07,1.20E-09,6.30E-11
438,Basic gates,AND Gate,6,3,3,2.00E-08,8.00E-07,1.20E-09,7.12E-11
439,Basic gates,AND Gate,6,3,3,2.00E-08,9.00E-07,1.20E-09,7.94E-11
440,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-06,1.20E-09,8.77E-11
441,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-07,1.30E-09,1.34E-11
442,Basic gates,AND Gate,6,3,3,2.00E-08,2.00E-07,1.30E-09,2.08E-11
443,Basic gates,AND Gate,6,3,3,2.00E-08,3.00E-07,1.30E-09,2.78E-11
444,Basic gates,AND Gate,6,3,3,2.00E-08,4.00E-07,1.30E-09,3.49E-11
445,Basic gates,AND Gate,6,3,3,2.00E-08,5.00E-07,1.30E-09,4.22E-11
446,Basic gates,AND Gate,6,3,3,2.00E-08,6.00E-07,1.30E-09,4.97E-11
447,Basic gates,AND Gate,6,3,3,2.00E-08,7.00E-07,1.30E-09,5.74E-11
448,Basic gates,AND Gate,6,3,3,2.00E-08,8.00E-07,1.30E-09,6.47E-11
449,Basic gates,AND Gate,6,3,3,2.00E-08,9.00E-07,1.30E-09,7.21E-11
450,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-06,1.30E-09,7.95E-11
451,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-07,1.40E-09,1.30E-11
452,Basic gates,AND Gate,6,3,3,2.00E-08,2.00E-07,1.40E-09,2.01E-11
453,Basic gates,AND Gate,6,3,3,2.00E-08,3.00E-07,1.40E-09,2.65E-11
454,Basic gates,AND Gate,6,3,3,2.00E-08,4.00E-07,1.40E-09,3.29E-11
455,Basic gates,AND Gate,6,3,3,2.00E-08,5.00E-07,1.40E-09,3.94E-11
456,Basic gates,AND Gate,6,3,3,2.00E-08,6.00E-07,1.40E-09,4.63E-11
457,Basic gates,AND Gate,6,3,3,2.00E-08,7.00E-07,1.40E-09,5.31E-11
458,Basic gates,AND Gate,6,3,3,2.00E-08,8.00E-07,1.40E-09,6.00E-11
459,Basic gates,AND Gate,6,3,3,2.00E-08,9.00E-07,1.40E-09,6.68E-11
460,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-06,1.40E-09,7.35E-11
461,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-07,1.50E-09,1.28E-11
462,Basic gates,AND Gate,6,3,3,2.00E-08,2.00E-07,1.50E-09,1.96E-11
463,Basic gates,AND Gate,6,3,3,2.00E-08,3.00E-07,1.50E-09,2.57E-11
464,Basic gates,AND Gate,6,3,3,2.00E-08,4.00E-07,1.50E-09,3.16E-11
465,Basic gates,AND Gate,6,3,3,2.00E-08,5.00E-07,1.50E-09,3.75E-11
466,Basic gates,AND Gate,6,3,3,2.00E-08,6.00E-07,1.50E-09,4.37E-11
467,Basic gates,AND Gate,6,3,3,2.00E-08,7.00E-07,1.50E-09,5.00E-11
468,Basic gates,AND Gate,6,3,3,2.00E-08,8.00E-07,1.50E-09,5.65E-11
469,Basic gates,AND Gate,6,3,3,2.00E-08,9.00E-07,1.50E-09,6.28E-11
470,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-06,1.50E-09,6.90E-11
471,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-07,1.60E-09,1.26E-11
472,Basic gates,AND Gate,6,3,3,2.00E-08,2.00E-07,1.60E-09,1.92E-11
473,Basic gates,AND Gate,6,3,3,2.00E-08,3.00E-07,1.60E-09,2.51E-11
474,Basic gates,AND Gate,6,3,3,2.00E-08,4.00E-07,1.60E-09,3.07E-11
475,Basic gates,AND Gate,6,3,3,2.00E-08,5.00E-07,1.60E-09,3.62E-11
476,Basic gates,AND Gate,6,3,3,2.00E-08,6.00E-07,1.60E-09,4.19E-11
477,Basic gates,AND Gate,6,3,3,2.00E-08,7.00E-07,1.60E-09,4.77E-11
478,Basic gates,AND Gate,6,3,3,2.00E-08,8.00E-07,1.60E-09,5.38E-11
479,Basic gates,AND Gate,6,3,3,2.00E-08,9.00E-07,1.60E-09,5.97E-11
480,Basic gates,AND Gate,6,3,3,2.00E-08,1.00E-06,1.60E-09,6.55E-11
481,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-07,9.00E-10,2.05E-11
482,Basic gates,AND Gate,6,3,3,3.20E-08,2.00E-07,9.00E-10,3.47E-11
483,Basic gates,AND Gate,6,3,3,3.20E-08,3.00E-07,9.00E-10,4.83E-11
484,Basic gates,AND Gate,6,3,3,3.20E-08,4.00E-07,9.00E-10,6.10E-11
485,Basic gates,AND Gate,6,3,3,3.20E-08,5.00E-07,9.00E-10,7.33E-11
486,Basic gates,AND Gate,6,3,3,3.20E-08,6.00E-07,9.00E-10,8.54E-11
487,Basic gates,AND Gate,6,3,3,3.20E-08,7.00E-07,9.00E-10,9.79E-11
488,Basic gates,AND Gate,6,3,3,3.20E-08,8.00E-07,9.00E-10,1.10E-10
489,Basic gates,AND Gate,6,3,3,3.20E-08,9.00E-07,9.00E-10,1.23E-10
490,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-06,9.00E-10,1.35E-10
491,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-07,1.00E-09,1.71E-11
492,Basic gates,AND Gate,6,3,3,3.20E-08,2.00E-07,1.00E-09,2.83E-11
493,Basic gates,AND Gate,6,3,3,3.20E-08,3.00E-07,1.00E-09,3.93E-11
494,Basic gates,AND Gate,6,3,3,3.20E-08,4.00E-07,1.00E-09,5.03E-11
495,Basic gates,AND Gate,6,3,3,3.20E-08,5.00E-07,1.00E-09,6.08E-11
496,Basic gates,AND Gate,6,3,3,3.20E-08,6.00E-07,1.00E-09,7.12E-11
497,Basic gates,AND Gate,6,3,3,3.20E-08,7.00E-07,1.00E-09,8.14E-11
498,Basic gates,AND Gate,6,3,3,3.20E-08,8.00E-07,1.00E-09,9.18E-11
499,Basic gates,AND Gate,6,3,3,3.20E-08,9.00E-07,1.00E-09,1.02E-10
500,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-06,1.00E-09,1.13E-10
501,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-07,1.10E-09,1.55E-11
502,Basic gates,AND Gate,6,3,3,3.20E-08,2.00E-07,1.10E-09,2.48E-11
503,Basic gates,AND Gate,6,3,3,3.20E-08,3.00E-07,1.10E-09,3.39E-11
504,Basic gates,AND Gate,6,3,3,3.20E-08,4.00E-07,1.10E-09,4.31E-11
505,Basic gates,AND Gate,6,3,3,3.20E-08,5.00E-07,1.10E-09,5.25E-11
506,Basic gates,AND Gate,6,3,3,3.20E-08,6.00E-07,1.10E-09,6.15E-11
507,Basic gates,AND Gate,6,3,3,3.20E-08,7.00E-07,1.10E-09,7.03E-11
508,Basic gates,AND Gate,6,3,3,3.20E-08,8.00E-07,1.10E-09,7.92E-11
509,Basic gates,AND Gate,6,3,3,3.20E-08,9.00E-07,1.10E-09,8.81E-11
510,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-06,1.10E-09,9.71E-11
511,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-07,1.20E-09,1.47E-11
512,Basic gates,AND Gate,6,3,3,3.20E-08,2.00E-07,1.20E-09,2.33E-11
513,Basic gates,AND Gate,6,3,3,3.20E-08,3.00E-07,1.20E-09,3.17E-11
514,Basic gates,AND Gate,6,3,3,3.20E-08,4.00E-07,1.20E-09,4.04E-11
515,Basic gates,AND Gate,6,3,3,3.20E-08,5.00E-07,1.20E-09,4.93E-11
516,Basic gates,AND Gate,6,3,3,3.20E-08,6.00E-07,1.20E-09,5.83E-11
517,Basic gates,AND Gate,6,3,3,3.20E-08,7.00E-07,1.20E-09,6.69E-11
518,Basic gates,AND Gate,6,3,3,3.20E-08,8.00E-07,1.20E-09,7.56E-11
519,Basic gates,AND Gate,6,3,3,3.20E-08,9.00E-07,1.20E-09,8.44E-11
520,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-06,1.20E-09,9.32E-11
521,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-07,1.30E-09,1.41E-11
522,Basic gates,AND Gate,6,3,3,3.20E-08,2.00E-07,1.30E-09,2.19E-11
523,Basic gates,AND Gate,6,3,3,3.20E-08,3.00E-07,1.30E-09,2.93E-11
524,Basic gates,AND Gate,6,3,3,3.20E-08,4.00E-07,1.30E-09,3.69E-11
525,Basic gates,AND Gate,6,3,3,3.20E-08,5.00E-07,1.30E-09,4.48E-11
526,Basic gates,AND Gate,6,3,3,3.20E-08,6.00E-07,1.30E-09,5.28E-11
527,Basic gates,AND Gate,6,3,3,3.20E-08,7.00E-07,1.30E-09,6.08E-11
528,Basic gates,AND Gate,6,3,3,3.20E-08,8.00E-07,1.30E-09,6.85E-11
529,Basic gates,AND Gate,6,3,3,3.20E-08,9.00E-07,1.30E-09,7.64E-11
530,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-06,1.30E-09,8.43E-11
531,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-07,1.40E-09,1.37E-11
532,Basic gates,AND Gate,6,3,3,3.20E-08,2.00E-07,1.40E-09,2.11E-11
533,Basic gates,AND Gate,6,3,3,3.20E-08,3.00E-07,1.40E-09,2.78E-11
534,Basic gates,AND Gate,6,3,3,3.20E-08,4.00E-07,1.40E-09,3.46E-11
535,Basic gates,AND Gate,6,3,3,3.20E-08,5.00E-07,1.40E-09,4.16E-11
536,Basic gates,AND Gate,6,3,3,3.20E-08,6.00E-07,1.40E-09,4.88E-11
537,Basic gates,AND Gate,6,3,3,3.20E-08,7.00E-07,1.40E-09,5.62E-11
538,Basic gates,AND Gate,6,3,3,3.20E-08,8.00E-07,1.40E-09,6.34E-11
539,Basic gates,AND Gate,6,3,3,3.20E-08,9.00E-07,1.40E-09,7.05E-11
540,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-06,1.40E-09,7.77E-11
541,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-07,1.50E-09,1.34E-11
542,Basic gates,AND Gate,6,3,3,3.20E-08,2.00E-07,1.50E-09,2.05E-11
543,Basic gates,AND Gate,6,3,3,3.20E-08,3.00E-07,1.50E-09,2.68E-11
544,Basic gates,AND Gate,6,3,3,3.20E-08,4.00E-07,1.50E-09,3.30E-11
545,Basic gates,AND Gate,6,3,3,3.20E-08,5.00E-07,1.50E-09,3.94E-11
546,Basic gates,AND Gate,6,3,3,3.20E-08,6.00E-07,1.50E-09,4.60E-11
547,Basic gates,AND Gate,6,3,3,3.20E-08,7.00E-07,1.50E-09,5.28E-11
548,Basic gates,AND Gate,6,3,3,3.20E-08,8.00E-07,1.50E-09,5.95E-11
549,Basic gates,AND Gate,6,3,3,3.20E-08,9.00E-07,1.50E-09,6.61E-11
550,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-06,1.50E-09,7.28E-11
551,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-07,1.60E-09,1.32E-11
552,Basic gates,AND Gate,6,3,3,3.20E-08,2.00E-07,1.60E-09,2.00E-11
553,Basic gates,AND Gate,6,3,3,3.20E-08,3.00E-07,1.60E-09,2.62E-11
554,Basic gates,AND Gate,6,3,3,3.20E-08,4.00E-07,1.60E-09,3.20E-11
555,Basic gates,AND Gate,6,3,3,3.20E-08,5.00E-07,1.60E-09,3.79E-11
556,Basic gates,AND Gate,6,3,3,3.20E-08,6.00E-07,1.60E-09,4.38E-11
557,Basic gates,AND Gate,6,3,3,3.20E-08,7.00E-07,1.60E-09,5.02E-11
558,Basic gates,AND Gate,6,3,3,3.20E-08,8.00E-07,1.60E-09,5.65E-11
559,Basic gates,AND Gate,6,3,3,3.20E-08,9.00E-07,1.60E-09,6.27E-11
560,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-06,1.60E-09,6.89E-11
561,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-07,9.00E-10,2.31E-11
562,Basic gates,AND Gate,6,3,3,4.20E-08,2.00E-07,9.00E-10,3.97E-11
563,Basic gates,AND Gate,6,3,3,4.20E-08,3.00E-07,9.00E-10,5.51E-11
564,Basic gates,AND Gate,6,3,3,4.20E-08,4.00E-07,9.00E-10,6.93E-11
565,Basic gates,AND Gate,6,3,3,4.20E-08,5.00E-07,9.00E-10,8.32E-11
566,Basic gates,AND Gate,6,3,3,4.20E-08,6.00E-07,9.00E-10,9.73E-11
567,Basic gates,AND Gate,6,3,3,4.20E-08,7.00E-07,9.00E-10,1.11E-10
568,Basic gates,AND Gate,6,3,3,4.20E-08,8.00E-07,9.00E-10,1.26E-10
569,Basic gates,AND Gate,6,3,3,4.20E-08,9.00E-07,9.00E-10,1.40E-10
570,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-06,9.00E-10,1.54E-10
571,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-07,1.00E-09,1.84E-11
572,Basic gates,AND Gate,6,3,3,4.20E-08,2.00E-07,1.00E-09,3.13E-11
573,Basic gates,AND Gate,6,3,3,4.20E-08,3.00E-07,1.00E-09,4.41E-11
574,Basic gates,AND Gate,6,3,3,4.20E-08,4.00E-07,1.00E-09,5.67E-11
575,Basic gates,AND Gate,6,3,3,4.20E-08,5.00E-07,1.00E-09,6.85E-11
