Sr. No,Circuit Type,Circuit name,No. of transistors,No. of n-type transistor,No. of p-type transistor,Lg, W,D,Input Output Delay
58,Basic gates,OR Gate,6,3,3,2.00E-08,8.00E-07,1.40E-09,3.77E-11
59,Basic gates,OR Gate,6,3,3,2.00E-08,9.00E-07,1.40E-09,4.17E-11
60,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-06,1.40E-09,4.56E-11
61,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-07,1.50E-09,2.56E-12
62,Basic gates,OR Gate,6,3,3,2.00E-08,2.00E-07,1.50E-09,8.63E-12
63,Basic gates,OR Gate,6,3,3,2.00E-08,3.00E-07,1.50E-09,1.37E-11
64,Basic gates,OR Gate,6,3,3,2.00E-08,4.00E-07,1.50E-09,1.84E-11
65,Basic gates,OR Gate,6,3,3,2.00E-08,5.00E-07,1.50E-09,2.26E-11
66,Basic gates,OR Gate,6,3,3,2.00E-08,6.00E-07,1.50E-09,2.68E-11
67,Basic gates,OR Gate,6,3,3,2.00E-08,7.00E-07,1.50E-09,3.07E-11
68,Basic gates,OR Gate,6,3,3,2.00E-08,8.00E-07,1.50E-09,3.45E-11
69,Basic gates,OR Gate,6,3,3,2.00E-08,9.00E-07,1.50E-09,3.81E-11
70,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-06,1.50E-09,4.17E-11
71,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-07,1.60E-09,1.18E-12
72,Basic gates,OR Gate,6,3,3,2.00E-08,2.00E-07,1.60E-09,6.90E-12
73,Basic gates,OR Gate,6,3,3,2.00E-08,3.00E-07,1.60E-09,1.18E-11
74,Basic gates,OR Gate,6,3,3,2.00E-08,4.00E-07,1.60E-09,1.62E-11
75,Basic gates,OR Gate,6,3,3,2.00E-08,5.00E-07,1.60E-09,2.03E-11
76,Basic gates,OR Gate,6,3,3,2.00E-08,6.00E-07,1.60E-09,2.42E-11
77,Basic gates,OR Gate,6,3,3,2.00E-08,7.00E-07,1.60E-09,2.79E-11
78,Basic gates,OR Gate,6,3,3,2.00E-08,8.00E-07,1.60E-09,3.14E-11
79,Basic gates,OR Gate,6,3,3,2.00E-08,9.00E-07,1.60E-09,3.50E-11
80,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-06,1.60E-09,3.85E-11
81,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-07,1.60E-09,1.77E-12
82,Basic gates,OR Gate,6,3,3,3.20E-08,2.00E-07,1.60E-09,7.64E-12
83,Basic gates,OR Gate,6,3,3,3.20E-08,3.00E-07,1.60E-09,1.28E-11
84,Basic gates,OR Gate,6,3,3,3.20E-08,4.00E-07,1.60E-09,1.73E-11
85,Basic gates,OR Gate,6,3,3,3.20E-08,5.00E-07,1.60E-09,2.15E-11
86,Basic gates,OR Gate,6,3,3,3.20E-08,6.00E-07,1.60E-09,2.56E-11
87,Basic gates,OR Gate,6,3,3,3.20E-08,7.00E-07,1.60E-09,2.94E-11
88,Basic gates,OR Gate,6,3,3,3.20E-08,8.00E-07,1.60E-09,3.32E-11
89,Basic gates,OR Gate,6,3,3,3.20E-08,9.00E-07,1.60E-09,3.69E-11
90,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-06,1.60E-09,4.05E-11
91,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-07,1.50E-09,3.14E-12
92,Basic gates,OR Gate,6,3,3,3.20E-08,2.00E-07,1.50E-09,9.38E-12
93,Basic gates,OR Gate,6,3,3,3.20E-08,3.00E-07,1.50E-09,1.47E-11
94,Basic gates,OR Gate,6,3,3,3.20E-08,4.00E-07,1.50E-09,1.95E-11
95,Basic gates,OR Gate,6,3,3,3.20E-08,5.00E-07,1.50E-09,2.39E-11
96,Basic gates,OR Gate,6,3,3,3.20E-08,6.00E-07,1.50E-09,2.83E-11
97,Basic gates,OR Gate,6,3,3,3.20E-08,7.00E-07,1.50E-09,3.24E-11
98,Basic gates,OR Gate,6,3,3,3.20E-08,8.00E-07,1.50E-09,3.63E-11
99,Basic gates,OR Gate,6,3,3,3.20E-08,9.00E-07,1.50E-09,4.01E-11
100,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-06,1.50E-09,4.39E-11
101,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-07,1.40E-09,2.29E-11
102,Basic gates,OR Gate,6,3,3,3.20E-08,2.00E-07,1.40E-09,2.73E-11
103,Basic gates,OR Gate,6,3,3,3.20E-08,3.00E-07,1.40E-09,3.24E-11
104,Basic gates,OR Gate,6,3,3,3.20E-08,4.00E-07,1.40E-09,3.43E-11
105,Basic gates,OR Gate,6,3,3,3.20E-08,5.00E-07,1.40E-09,4.01E-11
106,Basic gates,OR Gate,6,3,3,3.20E-08,6.00E-07,1.40E-09,4.39E-11
107,Basic gates,OR Gate,6,3,3,3.20E-08,7.00E-07,1.40E-09,2.83E-11
108,Basic gates,OR Gate,6,3,3,3.20E-08,8.00E-07,1.40E-09,3.24E-11
109,Basic gates,OR Gate,6,3,3,3.20E-08,9.00E-07,1.40E-09,3.63E-11
110,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-06,1.40E-09,1.47E-11
111,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-07,1.30E-09,6.49E-12
112,Basic gates,OR Gate,6,3,3,3.20E-08,2.00E-07,1.30E-09,1.35E-11
113,Basic gates,OR Gate,6,3,3,3.20E-08,3.00E-07,1.30E-09,1.95E-11
114,Basic gates,OR Gate,6,3,3,3.20E-08,4.00E-07,1.30E-09,2.49E-11
115,Basic gates,OR Gate,6,3,3,3.20E-08,5.00E-07,1.30E-09,3.00E-11
116,Basic gates,OR Gate,6,3,3,3.20E-08,6.00E-07,1.30E-09,3.48E-11
117,Basic gates,OR Gate,6,3,3,3.20E-08,7.00E-07,1.30E-09,3.94E-11
118,Basic gates,OR Gate,6,3,3,3.20E-08,8.00E-07,1.30E-09,4.39E-11
119,Basic gates,OR Gate,6,3,3,3.20E-08,9.00E-07,1.30E-09,4.83E-11
120,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-06,1.30E-09,5.26E-11
121,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-07,1.20E-09,8.31E-12
122,Basic gates,OR Gate,6,3,3,3.20E-08,2.00E-07,1.20E-09,1.60E-11
123,Basic gates,OR Gate,6,3,3,3.20E-08,3.00E-07,1.20E-09,2.24E-11
124,Basic gates,OR Gate,6,3,3,3.20E-08,4.00E-07,1.20E-09,2.83E-11
125,Basic gates,OR Gate,6,3,3,3.20E-08,5.00E-07,1.20E-09,3.38E-11
126,Basic gates,OR Gate,6,3,3,3.20E-08,6.00E-07,1.20E-09,3.90E-11
127,Basic gates,OR Gate,6,3,3,3.20E-08,7.00E-07,1.20E-09,4.42E-11
128,Basic gates,OR Gate,6,3,3,3.20E-08,8.00E-07,1.20E-09,4.90E-11
129,Basic gates,OR Gate,6,3,3,3.20E-08,9.00E-07,1.20E-09,5.38E-11
130,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-06,1.20E-09,5.84E-11
131,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-07,1.10E-09,1.05E-11
132,Basic gates,OR Gate,6,3,3,3.20E-08,2.00E-07,1.10E-09,1.88E-11
133,Basic gates,OR Gate,6,3,3,3.20E-08,3.00E-07,1.10E-09,2.60E-11
134,Basic gates,OR Gate,6,3,3,3.20E-08,4.00E-07,1.10E-09,3.25E-11
135,Basic gates,OR Gate,6,3,3,3.20E-08,5.00E-07,1.10E-09,3.86E-11
136,Basic gates,OR Gate,6,3,3,3.20E-08,6.00E-07,1.10E-09,4.45E-11
137,Basic gates,OR Gate,6,3,3,3.20E-08,7.00E-07,1.10E-09,5.00E-11
138,Basic gates,OR Gate,6,3,3,3.20E-08,8.00E-07,1.10E-09,5.54E-11
139,Basic gates,OR Gate,6,3,3,3.20E-08,9.00E-07,1.10E-09,6.05E-11
140,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-06,1.10E-09,6.55E-11
141,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-07,1.00E-09,1.32E-11
142,Basic gates,OR Gate,6,3,3,3.20E-08,2.00E-07,1.00E-09,2.26E-11
143,Basic gates,OR Gate,6,3,3,3.20E-08,3.00E-07,1.00E-09,3.07E-11
144,Basic gates,OR Gate,6,3,3,3.20E-08,4.00E-07,1.00E-09,3.81E-11
145,Basic gates,OR Gate,6,3,3,3.20E-08,5.00E-07,1.00E-09,4.50E-11
146,Basic gates,OR Gate,6,3,3,3.20E-08,6.00E-07,1.00E-09,5.16E-11
147,Basic gates,OR Gate,6,3,3,3.20E-08,7.00E-07,1.00E-09,5.77E-11
148,Basic gates,OR Gate,6,3,3,3.20E-08,8.00E-07,1.00E-09,6.35E-11
149,Basic gates,OR Gate,6,3,3,3.20E-08,9.00E-07,1.00E-09,6.89E-11
150,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-06,1.00E-09,7.44E-11
151,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-07,9.00E-10,1.71E-11
152,Basic gates,OR Gate,6,3,3,3.20E-08,2.00E-07,9.00E-10,2.80E-11
153,Basic gates,OR Gate,6,3,3,3.20E-08,3.00E-07,9.00E-10,3.75E-11
154,Basic gates,OR Gate,6,3,3,3.20E-08,4.00E-07,9.00E-10,4.60E-11
